Unnamed: 0,text,true_label,pred_label,num_words
32,"“No, my dear; but if your Black Beauty had not been wiser than we were we should all have been carried down the river at the wooden bridge.”  I heard no more, as they went into the house, and John took me to the stable. Oh, what a good supper he gave me that night, a good bran mash and some crushed beans with my oats, and such a thick bed of straw! and I was glad of it, for I was tired.",1,1,83
33,"After this really strenuous day Mrs. Hen retired to her slumbers earlier than usual--indeed, before the colors came into the sky to herald the setting of the sun, her usual bedtime hour.",0,0,32
34,"To this you answered, O swineherd Eumaeus, “Eat, my good fellow, and enjoy your supper, such as it is. God grants this, and withholds that, just as he thinks right, for he can do whatever he chooses.”",2,2,37
35,"Striped Chipmunk was sitting under the Slender Fir Tree and he couldn't help hearing what Old Mother West Wind said. “The Best Thing in the World--now what can that be?” thought Striped Chipmunk. “Why, it must be heaps and heaps of nuts and acorns! I'll go and find it.”",0,0,49
36,"On the way back to the house they had an adventure, a sort of adventure, and it brought home to Betsy once for all how much she loved dear, sweet Aunt Frances, and just what kind of love it was.",0,0,40
37,"“When I returned to the bedside of the young woman, I found her raving in precisely the same order of continuity. I knew that this might last for many hours, and that it would probably end in the silence of the grave.",2,2,42
38,"When the little Rabbit heard that he was happy, for he knew that what the Skin Horse had said was true at last. The nursery magic had happened to him, and he was a toy no longer. He was Real. The Boy himself had said it.",0,0,46
39,"They no longer held the lively conversations of earlier times, of course, the ones that Gregor always thought about with longing when he was tired and getting into the damp bed in some small hotel room. All of them were usually very quiet nowadays. Soon after dinner, his father would go to sleep in his chair; his mother and sister would urge each other to be quiet; his mother, bent deeply under the lamp, would sew fancy underwear for a fashion shop; his sister, who had taken a sales job, learned shorthand and French in the evenings so that she might be able to get a better position later on. Sometimes his father would wake up and say to Gregor’s mother “you’re doing so much sewing again today!”, as if he did not know that he had been dozing—and then he would go back to sleep again while mother and sister would exchange a tired grin.",2,2,156
40,"It was dusky inside the store after the outdoor brightness. There didn’t seem to be any clerks at all. Not that it mattered, because April was only looking. She squatted down in front of a glass case full of small objects: vases and jars, some partly cracked or broken, crudely made jewelry and tiny statues. All of it looked terribly ancient and interesting. She was pressing her nose to the glass when suddenly she knew she was being watched.",1,1,79
41,"The wide wooden floorboards were cold against her feet. Wind blew in the crevices about the window frame, in spite of the protection the storm sash was supposed to offer. She could hear wind howling in the chimneys. From all the way downstairs she could hear Fortinbras, the big black dog, starting to bark. He must be frightened, too. What was he barking at? Fortinbras never barked without reason.",0,0,69
42,"Well, let's face it, he told himself. You're liable to he next, buddy. One of these days you 11 wake up and say ""hi"" to a new dad. One you never saw before and can't even imagine light now. Maybe, for all you know, it'll be like out there in California and hell have a few kids of his own. Fiom another marriage, or two. There'll be visiting day and visiting privileges, like they do; and every week or every other, depending, there'll be this kid, or maybe even a couple of them, that he has to take out and show a good time to. Only this time it would be as part of the family. Your family.",2,2,118
43,"""Man, dig baldy here!"" He was staring at my head as he circled me. ""I wouldn't have believed it. I thought all the wild Indians in Oklahoma had been tamed. What little The Outsiders squaw's got that tuff-lookin' mop of yours, Ponyboy?""",1,1,42
44,"“It is a curious thing,” remarked Holmes, “that a typewriter has really quite as much individuality as a man’s handwriting. Unless they are quite new, no two of them write exactly alike. Some letters get more worn than others, and some wear only on one side. Now, you remark in this note of yours, Mr. Windibank, that in every case there is some little slurring over of the ‘e,’ and a slight defect in the tail of the ‘r.’ There are fourteen other characteristics, but those are the more obvious.”",2,2,90
45,"Pinocchio swam faster and faster, and harder and harder.",0,0,9
46,"So, again, in a very hopeful tone, she called out, ""Who will thresh the Wheat?""",0,0,15
47,"She flew on to his shoulder and pleaded, but he brushed her off. Not until Wendy again raised her arm did he relent sufficiently to say, “Well, not for ever, but for a whole week.”",0,0,35
48,"“It is the Evil One, himself!”",1,2,6
49,"That was as far as he got, because Darry, shaved and dressed, came in behind Steve and lifted him up off the floor, then dropped him. We all call Darry ""Superman"" or ""Muscles"" at one time or another; but one time Steve made the mistake of referring to him as ""all brawn and no brain,"" and Darry almost shattered Steve's jaw. Steve didn't call him that again, but Darry never forgave him; Darry has never really gotten over not going to college. That was the only time I've ever seen Soda mad at Steve, although Soda attaches no importance to education. School bored him. No action.",1,1,106
50,"“Pray let me hear what you have to accuse him of,” cried Colonel Fitzwilliam. “I should like to know how he behaves among strangers.”",2,2,24
51,"“I don’t know whether I like you or not,” replied Edna, gazing down at the little woman with a quizzical look.",2,2,21
52,"Satisfied with their work, they sat on the grass waiting for Pinocchio to give his last gasp. But after three hours the Marionette’s eyes were still open, his mouth still shut and his legs kicked harder than ever.",0,0,38
53,"""I am, I am!"" Sylvester wanted to shout, but he couldn't. If only he had realized that the pebble resting on his back was the magic pebble!",0,0,27
54,"For the first few days of his life, Wilbur was allowed to live in a box near the stove in the kitchen. Then, when Mrs. Arable complained, he was moved to a bigger box in the woodshed. It was apple-blossom time, and the days were getting warmer. Mr. Arable fixed a small yard specially for Wilbur under an apple tree, and gave him a large wooden box full of straw, with a doorway cut in it so he could walk in and out as he pleased.",0,0,86
55,Corduroy watched them sadly as they walked away.,0,0,8
56,"Then here, on this mountain top, with the world below me and nothing above me but the sun, I shall live my own truth. Gaea is pregnant with my child. Our son will be raised as a man. He will be taught to say “I” and to bear the pride of it. He will be taught to walk straight and on his own feet. He will be taught reverence for his own spirit.",1,1,73
57,"The Van Osburgh marriage was celebrated in the village church near the paternal estate on the Hudson. It was the “simple country wedding” to which guests are convoyed in special trains, and from which the hordes of the uninvited have to be fended off by the intervention of the police. While these sylvan rites were taking place, in a church packed with fashion and festooned with orchids, the representatives of the press were threading their way, note-book in hand, through the labyrinth of wedding presents, and the agent of a cinematograph syndicate was setting up his apparatus at the church door. It was the kind of scene in which Lily had often pictured herself as taking the principal part, and on this occasion the fact that she was once more merely a casual spectator, instead of the mystically veiled figure occupying the centre of attention, strengthened her resolve to assume the latter part before the year was over. ",1,1,158
58,"It was a big-bellied Sikorsky with a blue stripe on the side, with the words “InGen Construction.” That was the name of the construction company building a new resort on one of the offshore islands. The resort was said to be spectacular, and very complicated; many of the local people were employed in the construction, which had been going on for more than two years. Bobbie could imagine it—one of those huge American resorts with swimming pools and tennis courts, where guests could play and drink their daiquiris, without having any contact with the real life of the country.",2,2,99
59,"he had found it reassuringly easy to keep Trenor in a good humour. To listen to his stories, to receive his confidences and laugh at his jokes, seemed for the moment all that was required of her, and the complacency with which her hostess regarded these attentions freed them of the least hint of ambiguity. Mrs. Trenor evidently assumed that Lily’s growing intimacy with her husband was simply an indirect way of returning her own kindness.",1,1,76
60,"Then came the struggle and parting below. Words refuse to tell it. All the servants were there in the hall—all the dear friends—all the young ladies—the dancing-master who had just arrived; and there was such a scuffling, and hugging, and kissing, and crying, with the hysterical YOOPS of Miss Swartz, the parlour-boarder, from her room, as no pen can depict, and as the tender heart would fain pass over. The embracing was over; they parted—that is, Miss Sedley parted from her friends. Miss Sharp had demurely entered the carriage some minutes before. Nobody cried for leaving HER.",1,1,97
61,"Then he looks on around the same way to me, and says:",2,2,12
62,"“He might perhaps—but to a certain extent it would stir up strife, since there are those among the masters who do not like the New Learning, as it is called. Our old teachings are all of the great Aristotle, and yet we have never read anything of him in the Greek language—everything that we study is in Latin. We have many treatises upon learning which the masters have used for centuries, and most of them do not desire to change their ways.”",1,1,82
63,"“She’ll be all right tomorrow,” he said presently. “I’m just going to wait here and see if he tries to bother her about that unpleasantness this afternoon. She’s locked herself into her room, and if he tries any brutality she’s going to turn the light out and on again.”",2,2,49
64,“What’s Mrs Whatsit stand for?” Mrs. Murry asked.,0,0,8
65,"Kino's breath whistled in his nostrils and he opened his mouth to stop it. And then the startled look was gone from him and the rigidity from his body. In his mind a new song had come, the Song of Evil, the music of the enemy, of any foe of the family, a savage, secret, dangerous melody, and underneath, the Song of the Family cried plaintively",1,1,66
66,"He said there was only one window and not room for two beds, and no near room for him if he took another. He is very careful and loving, and hardly lets me stir without special direction. I have a schedule prescription for each hour in the day; he takes all care from me, and so I feel basely ungrateful not to value it more. He said we came here solely on my account, that I was to have perfect rest and all the air I could get.",1,2,88
67,"There's one comfort, the baby is well and happy, and does not have to occupy this nursery with the horrid wallpaper. If we had not used it, that blessed child would have! What a fortunate escape! Why, I wouldn't have a child of mine, an impressionable little thing, live in such a room for worlds. I never thought of it before, but it is lucky that John kept me here after all, I can stand it so much easier than a baby, you see.",1,1,84
68,"Hendricks shrugged. Maybe the boy was a mutant, used to special food. It didn’t matter. When he was hungry he would find something to eat. The boy was strange. But there were many strange changes coming over the world. Life was not the same, anymore. It would never be the same again. The human race was going to have to realize that.",1,1,62
69,Corduroy is a bear who once lived in the toy department of a big store. Day after day he waited with all the other animals and dolls for someone to come along and take him home.,0,0,36
70,"""Wild Island is practically cut in two by a very wide and muddy river,"" continued the cat. """,0,0,18
71,"""No one's allowed to think in the Doldrums,"" continued a third, beginning to doze off. And as each one spoke, he fell off to sleep and another picked up the conversation with hardly any interruption.",0,1,35
72,"I had with all these the common vanity of my sex, viz. that being really taken for very handsome, or, if you please, for a great beauty, I very well knew it, and had as good an opinion of myself as anybody else could have of me; and particularly I loved to hear anybody speak of it, which could not but happen to me sometimes, and was a great satisfaction to me.",2,2,72
73,"For a while, he remained silently at the table after the eating was finished. Was he really a coward, as his son had so brutally pointed out? Certainly, in World War I, he considered himself one. He attributed his survival to it. But then, is there cowardice in the acknowledgment of fear? Is there cowardice in being glad that you lived?",2,2,61
74,"I’d never seen him since then. I don’t know how he knew about the funeral, or even his name. The rain poured down his thick glasses, and he took them off and wiped them to see the protecting canvas unrolled from Gatsby’s grave.",2,2,43
75,"I lay down for a nap after dinner and what do you think: though Katerina Ivanovna had quarrelled to the last degree with our landlady Amalia Fyodorovna only a week before, she could not resist then asking her in to coffee. For two hours they were sitting, whispering together. ‘Semyon Zaharovitch is in the service again, now, and receiving a salary,’ says she, ‘and he went himself to his excellency and his excellency himself came out to him, made all the others wait and led Semyon Zaharovitch by the hand before everybody into his study.’",2,2,95
76,"“He blew the candle out suddenly, and we went outside. The moon had risen. Black figures strolled about listlessly, pouring water on the glow, whence proceeded a sound of hissing; steam ascended in the moonlight, the beaten nigger groaned somewhere. ‘What a row the brute makes!’ said the indefatigable man with the moustaches, appearing near us. ‘Serve him right. Transgression—punishment—bang! Pitiless, pitiless. That’s the only way. This will prevent all conflagrations for the future. I was just telling the manager...’ He noticed my companion, and became crestfallen all at once. ‘Not in bed yet,’ he said, with a kind of servile heartiness; ‘it’s so natural. Ha! Danger—agitation.’ He vanished. I went on to the riverside, and the other followed me. I heard a scathing murmur at my ear, ‘Heap of muffs—go to.’ The pilgrims could be seen in knots gesticulating, discussing. Several had still their staves in their hands. I verily believe they took these sticks to bed with them. Beyond the fence the forest stood up spectrally in the moonlight, and through that dim stir, through the faint sounds of that lamentable courtyard, the silence of the land went home to one’s very heart—its mystery, its greatness, the amazing reality of its concealed life. The hurt nigger moaned feebly somewhere near by, and then fetched a deep sigh that made me mend my pace away from there. I felt a hand introducing itself under my arm. ‘My dear sir,’ said the fellow, ‘I don’t want to be misunderstood, and especially by you, who will see Mr. Kurtz long before I can have that pleasure. I wouldn’t like him to get a false idea of my disposition....’",2,2,277
77,"The chimes began again, the half hour. I stood in the belly of my shadow and listened to the strokes spaced and tranquil along the sunlight, among the thin, still little leaves. Spaced and peaceful and serene, with that quality of autumn always in bells even in the month of brides. Lying on the ground under the window bellowing He took one look at her and knew. Out of the mouths of babes. The street lamps The chimes ceased. I went back to the postoffice, treading my shadow into pavement. go down the hill then they rise toward town like lanterns hung one above another on a wall. Father said because she loves Caddy she loves people through their shortcomings. Uncle Maury straddling his legs before the fire must remove one hand long enough to drink Christmas. Jason ran on, his hands in his pockets fell down and lay there like a trussed fowl until Versh set him up. Whyn’t you keep them hands outen your pockets when you running you could stand up then Rolling his head in the cradle rolling it flat across the back. Caddy told Jason Versh said that the reason Uncle Maury didn’t work was that he used to roll his head in the cradle when he was little.",2,2,214
78,"""You mean you know where I could get an airplane?""",0,0,10
79,"I was trying to make up my mind to help when I got a surprise. Up out of that snarling, growling, slashing mass reared an old redbone hound. For a second I saw him. I caught my breath. I couldn’t believe what I had seen.",1,1,45
80,"Mrs. Rogers dashed into the bathroom. ""Oh, my best towels,"" she said. ""Didn't I change them enough?"" asked Amelia Bedelia.",0,0,20
81,"And so the little Rabbit was put into a sack with the old picture-books and a lot of rubbish, and carried out to the end of the garden behind the fowl-house. That was a fine place to make a bonfire, only the gardener was too busy just then to attend to it. He had the potatoes to dig and the green peas to gather, but next morning he promised to come quite early and burn the whole lot.",0,0,78
82,"I have a stuffed toy gorilla, too. Julia, the daughter of the weary man who cleans the mall each night, gave it to me.",0,0,24
83,"Dally would be okay after two or three days in the hospital, he said. One arm was badly burned and would be scarred for the rest of his life, but he would have full use of it in a couple of weeks. Dally'll be okay, I thought. Dallas is always okay. He could take anything. It was Johnny I was worried about.",1,1,62
84,"You can't know how I dreaded appearing in school in those miserable poor-box dresses. I was perfectly sure to be put down in class next to the girl who first owned my dress, and she would whisper and giggle and point it out to the others. The bitterness of wearing your enemies' cast-off clothes eats into your soul. If I wore silk stockings for the rest of my life, I don't believe I could obliterate the scar.",1,1,77
85,"So, in the second dog-watch one day the Red Whiskers in presence of the others, under pretence of showing Billy just whence a sirloin steak was cut- for the fellow had once been a butcher- insultingly gave him a dig under the ribs. Quick as lightning Billy let fly his arm. I dare say he never meant to do quite as much as he did, but anyhow he gave the burly fool a terrible drubbing.",2,1,75
86,"Quoth the Sheriff of Nottingham, ""But art thou sure, Sir Prior, that thou hast the lands so safe?""",1,1,18
87,"Sallie began to laugh, but Meg nodded and lifted her eyebrows as high as they would go, which caused the apparition to vanish and put the sour bread into the oven without further delay. Mrs. March went out, after peeping here and there to see how matters went, also saying a word of comfort to Beth, who sat making a winding sheet, while the dear departed lay in state in the domino box. A strange sense of helplessness fell upon the girls as the gray bonnet vanished round the corner, and despair seized them when a few minutes later Miss Crocker appeared, and said she’d come to dinner. Now this lady was a thin, yellow spinster, with a sharp nose and inquisitive eyes, who saw everything and gossiped about all she saw. They disliked her, but had been taught to be kind to her, simply because she was old and poor and had few friends. So Meg gave her the easy chair and tried to entertain her, while she asked questions, criticized everything, and told stories of the people whom she knew.",1,1,182
88,"“Give us two good rooms, one for Mr. Pinocchio and the other for me and my friend. Before starting out, we’ll take a little nap. Remember to call us at midnight sharp, for we must continue on our journey.”",0,0,39
89,"He is not the first that I have seen thus; but we grew up together and that always makes it a bit different. I have copied his essays. At school he used to wear a brown coat with a belt and shiny sleeves. He was the only one of us, too, who could do the giant's turn on the horizontal bar. His hair flew in his face like silk when he did it. Kantorek was proud of him. But he couldn't stand cigarettes. His skin was very white; he had something of the girl about him.",2,2,96
90,"“Then you may rid yourself of it at once,” broke in Jan Kanty. “The King returned to Krakow two days ago, and we may find him at the castle this very morning.”",1,2,32
91,Children wished on pennies and tossed them into her plastic pool. They glowed on the bottom like flat copper stones.,0,0,20
92,“Jimmy Skunk!” shouted all the little meadow folks.,0,0,8
93,"“Thou saidst Fauchelevent, Rue de l’Homme Armé?”",2,2,7
94,Omri carefully stood the Indian on the shelf.,0,0,8
95,"“Some of the pilgrims behind the stretcher carried his arms—two shot-guns, a heavy rifle, and a light revolver-carbine—the thunderbolts of that pitiful Jupiter. The manager bent over him murmuring as he walked beside his head. They laid him down in one of the little cabins—just a room for a bed place and a camp-stool or two, you know. We had brought his belated correspondence, and a lot of torn envelopes and open letters littered his bed. His hand roamed feebly amongst these papers. I was struck by the fire of his eyes and the composed languor of his expression. It was not so much the exhaustion of disease. He did not seem in pain. This shadow looked satiated and calm, as though for the moment it had had its fill of all the emotions.",2,2,134
96,"Now the people who had waited patiently in the dark were allowed to come in and speak to the mother and deliver their gifts to the baby. I recognized my mother's brothers, my uncles from El Puerto de los Lunas. They entered ceremoniously. A patient hope stirred in their dark, brooding eyes. · This one will be a Luna, the old man said, he will be a farmer and keep our customs and traditions. Perhaps God will bless our family and make the baby a priest",2,1,86
97,"And then they started getting into the Russian bunkers, slipping down when the lids were raised for air and a look around. One claw inside a bunker, a churning sphere of blades and metal—that was enough. And when one got in others followed. With a weapon like that the war couldn’t go on much longer.",1,1,55
98,“Hey! Mum! I’ve found one!”,0,0,5
99,In the morning there was no doubt about it. The noise actually woke him.,0,0,14
100,On the screen the face of the lunar monitor appeared. His crisp uniform contrasted to the uniforms in the bunker. And he was clean shaven. “Moon Base.”,1,2,27
101,I have learned that my power of the sky was known to men long ago; they called it Electricity. It was the power that moved their greatest inventions. It lit this house with light which came from those globes of glass on the walls. I have found the engine which produced this light. I shall learn how to repair it and how to make it work again. I shall learn how to use the wires which carry this power,1,1,79
102,Why don't you get up and play with us? one of them asked.,0,0,13
103,"Thou art indeed kind, said the Knight, ""but methinks thou wilt find me but an ill-seeming and sorrowful guest. Thou hadst best let me pass on my way in peace.""",1,1,30
104,"Brother Leon was getting ready to put on his show. Jerry knew the symptoms--- all the guys knew them. Most of them were freshmen and had been in Leon's class only a month or so but the teacher's pattern had already emerged. First, Leon gave them a reading assignment. Then he'd pace up and down, up and down, restless, sighing, wandering through the aisles, the blackboard pointer poised in his hand, the pointer he used either like a conductor's baton or a musketeer's sword. He'd use the tip to push around a book on a desk or to flick a kid's necktie, scratching gently down some guy's back, poking the pointer as if he were a rubbish collector picking his way through the debris of the classroom. One day, the pointer had rested on Jerry's head for a moment, and then passed on. Unaccountably, Jerry had shivered, as if he had just escaped some terrible fate.",2,2,156
105,"When he decided to write his father and got out the paper, he found out it wasn't going to be as easy as he had imagined to let him know he didn't have any hard feelings. Hey, Dad, he wanted to say, welJ here we are in New York City in the new apartment Mom iound. Believe it or not we Jive on the eighteenth Eoor, They have two elevators to take you up and down and four elevator operators (men) who take turns. Also two doormen to push the revolving door downstairs in the lobby.",2,2,96
106,"Owl ran up and down the stairs faster and faster. “Owl!” he cried. “Are you downstairs?” There was no answer. “No,” said Owl. “I am not downstairs because I am upstairs. I am not running fast enough.”",0,0,37
107,"Mae sat on the edge of the bed and pulled on a pair of short leather boots so thin and soft with age it was a wonder they held together. Then she stood and took from the washstand beside the bed a little square-shaped object, a music box painted with roses and lilies of the valley. It was the one pretty thing she owned and she never went anywhere without it. Her fingers strayed to the winding key on its bottom, but glancing at the sleeping Tuck, she shook her head, gave the little box a paS, and dropped it into her pocket. Then, last of all, she pulled down over her ears a blue straw hat with a drooping, exhausted brim.",1,1,122
108,"Isabel might have believed it and not have been far from the truth. He thought a great deal about her; she was constantly present to his mind. At a time when his thoughts had been a good deal of a burden to him her sudden arrival, which promised nothing and was an open-handed gift of fate, had refreshed and quickened them, given them wings and something to fly for. Poor Ralph had been for many weeks steeped in melancholy; his outlook, habitually sombre, lay under the shadow of a deeper cloud. He had grown anxious about his father, whose gout, hitherto confined to his legs, had begun to ascend into regions more vital. The old man had been gravely ill in the spring, and the doctors had whispered to Ralph that another attack would be less easy to deal with.",1,1,140
109,"“A fellow who is working at the chemical laboratory up at the hospital. He was bemoaning himself this morning because he could not get someone to go halves with him in some nice rooms which he had found, and which were too much for his purse.”",2,2,46
110,"She was a plain-faced old woman, without graces and without any great elegance, but with an extreme respect for her own motives. She was usually prepared to explain these—when the explanation was asked as a favour; and in such a case they proved totally different from those that had been attributed to her. She was virtually separated from her husband, but she appeared to perceive nothing irregular in the situation. It had become clear, at an early stage of their community, that they should never desire the same thing at the same moment, and this appearance had prompted her to rescue disagreement from the vulgar realm of accident. She did what she could to erect it into a law—a much more edifying aspect of it—by going to live in Florence, where she bought a house and established herself; and by leaving her husband to take care of the English branch of his bank.",1,1,153
111,"“I next called upon Madame Charpentier,” continued the detective. “I found her very pale and distressed. Her daughter was in the room, too—an uncommonly fine girl she is, too; she was looking red about the eyes and her lips trembled as I spoke to her. That didn’t escape my notice. I began to smell a rat. You know the feeling, Mr. Sherlock Holmes, when you come upon the right scent—a kind of thrill in your nerves. ‘Have you heard of the mysterious death of your late boarder Mr. Enoch J. Drebber, of Cleveland?’ I asked.",2,2,95
